name,bus0,bus1,type,x,r,g,b,s_nom,s_nom_mod,s_nom_extendable,s_nom_min,s_nom_max,s_nom_set,s_max_pu,capital_cost,overnight_cost,discount_rate,fom_cost,active,build_year,lifetime,length,carrier,terrain_factor,num_parallel,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt
Aminbazar_132kVtoKallayanpur_132kV_Line2,Aminbazar_132kV,Kallayanpur_132kV,,0.853,0.405168,0.0,2.192e-05,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,4.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kallayanpur_132kVtoLalbagh_132kV_Line1,Kallayanpur_132kV,Lalbagh_132kV,,1.706,0.810336,0.0,4.384e-05,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,8.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kallayanpur_132kVtoLalbagh_132kV_Line2,Kallayanpur_132kV,Lalbagh_132kV,,1.706,0.810336,0.0,4.384e-05,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,8.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lalbagh_132kVtoKeraniganj_132kV_Line1,Lalbagh_132kV,Keraniganj_132kV,,2.559,1.215504,0.0,6.576e-05,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,12.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keraniganj_132kVtoKamrangirchar_132kV_Line1,Keraniganj_132kVt,Kamrangirchar_132kV,,0.63975,0.303876,0.0,1.644e-05,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,3.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kamrangirchar_132kVtoLalbagh_132kV_Line1,Kamrangirchar_132kV,Lalbagh_132kV,,0.63975,0.303876,0.0,1.644e-05,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,3.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hasnabad_132kVtoKeraniganj_132kV_Line1,Hasnabad_132kV,Keraniganj_132kV,,2.9855,1.418088,0.0,7.672e-05,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,14.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hasnabad_132kVtoKeraniganj_132kV_Line2,Hasnabad_132kV,Keraniganj_132kV,,2.9855,1.418088,0.0,7.672e-05,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,14.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tongi_132kVtoNewTongi_132kV_Line1,Tongi_132kV,NewTongi_132kV,,0.13104,0.0368,0.0,4.005e-06,171.473,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,0.5,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tongi_132kVtoNewTongi_132kV_Line2,Tongi_132kV,NewTongi_132kV,,0.13104,0.0368,0.0,4.005e-06,171.473,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,0.5,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hasnabad_132kVtoSitalakhya_132kV_Line1,Hasnabad_132kV,Sitalakhya_132kV,,2.77225,1.316796,0.0,7.124e-05,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,13.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madanganj_132kVtoSitalakhya_132kV_Line1,Madanganj_132kV,Sitalakhya_132kV,,0.853,0.405168,0.0,2.192e-05,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,4.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hasnabad_132kVtoFatullah_132kV_Line1,Hasnabad_132kV,Fatullah_132kV,,4.47825,2.127132,0.0,0.00011508,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,21.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
