name,v_nom,type,x,y,carrier,unit,location,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,generator,sub_network
Kishoreganj_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Kodda_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Korerhat_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Korerhat_400kV,400.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Kosba_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Kulaura_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Kurigram_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Kushtia_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
LabancharaPP_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Laksham_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Lakshmipur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Lalbagh_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Lalmonirhat_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
MSML_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Madanganj_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Madaripur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Madartek_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
MadhumatiPP_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Madunaghat_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Madunaghat_400kV,400.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Madunaght_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Madunaght_230kVt,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Magura_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Mahasthangarh_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Maheshpur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Maijdee_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Manikganj_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Maniknagar_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Maniknagar_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
MatarbariTConnection_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Matarbari_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Matarbari_400kV,400.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Matuail_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
MeghnaghatRentalPP_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Meghnaghat_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Meghnaghat_400kV,400.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Mirpur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Mirsarai_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Mirzapur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Mithapukur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Moghbazar_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Monakosa_400kV,400.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Mongla_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Motijheel_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Mukhtagacha_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Munshiganj_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Muradnagar_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Mymensingh_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Naogaon_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Narail_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Narinda_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Narsingdi_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Natore_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Nawabganj_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Netrokona_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
NewTongi_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Niamatpur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
NoaparaPP_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Noapara_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
PHP_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Pabna64MWSolarPP_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Pabna_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Palashbari_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Panchagarh_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Patiya_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Patuakhali_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Patuakhali_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
PayraPP_400kV,400.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Payra_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Payra_400kV,400.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Postagola_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Pubail_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Purbachal_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Purbasadipur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Purbasadipur_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
RNPL_400kV,400.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
RNPP_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
RNPP_400kV,400.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
RPCLPP_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Rahanpur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Rahanpur_400kV,400.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Rajbari_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Rajendrapur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
RajshahiNorth_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
RajshahiNorth_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Rajshahi_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Ramganj_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Rampal_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Rampal_400kV,400.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
