name,fuel,producer,unit_config,installed_mw,present_mw,actual_day_peak_mw,actual_evening_peak_mw,forecast_day_peak_mw,forecast_evening_peak_mw,remarks,p2_evening_peak_mw,p2_energy_kwh,p2_remarks
Shahjibazar GTPP Unit- 8 & 9,Gas,PDB,2*35,70.0,66.0,30.0,25.0,30.0,30.0,GT-9 Under Maintenance,25.0,639456.0,GT-9 Under Maintenance
Shajibazar 330 MW CCPP,Gas,PDB,3*110,330.0,330.0,141.0,142.0,145.0,145.0,-,142.0,3255300.0,-
Siddhirganj 335 MW CCPP,Gas,EGCB,1*217+118,335.0,335.0,297.0,328.0,335.0,335.0,Gas shortage,328.0,7444058.0,Gas shortage
Siddhirgonj 2*120 MW GTPP,Gas,EGCB,2*105,210.0,210.0,0.0,0.0,210.0,210.0,Gas shortage,0.0,0.0,Gas shortage
Siddhirgonj 210 MW TPP,Gas,PDB,1*210,210.0,115.0,0.0,0.0,0.0,0.0,Under Major Overhauling,0.0,0.0,Under Major Overhauling
Sikalbaha 105 MW PP (Baraka Sikalbaha),HFO,IPP,6*17.5,105.0,105.0,9.0,90.0,105.0,105.0,Liquid fuel shortage,90.0,993599.0,Liquid fuel shortage
Sikalbaha 225MW CCPP,Gas/HSD,PDB,1*150+1*75,225.0,225.0,214.0,217.0,215.0,220.0,-,217.0,5143206.0,-
Sikalbaha Peaking GT,Gas/HSD,PDB,1*150,150.0,150.0,0.0,0.0,0.0,0.0,-,0.0,0.0,-
Sirajganj 2 MW Wind Power Plant,Wind,PDB,0.25*8,2.0,2.0,0.0,0.0,0.0,0.0,Contract Expired,0.0,0.0,Contract Expired
Sirajganj 68 MW Solar Park,Solar,IPP,,68.0,68.0,37.09,0.0,61.0,0.0,-,0.0,293824.0,-
Sirajgonj 225MW CCPP Unit-1,Gas/HSD,NWPGCL,1*150+1*75,210.0,214.0,154.0,150.0,214.0,214.0,Gas shortage,150.0,3767818.0,Gas shortage
Sirajgonj 225MW CCPP Unit-2,Gas/HSD,NWPGCL,1*150+1*75,220.0,220.0,159.0,146.0,220.0,220.0,Gas shortage,146.0,3919609.0,Gas shortage
Sirajgonj 225MW CCPP Unit-3,Gas/HSD,NWPGCL,1*141,220.0,220.0,153.0,145.0,220.0,220.0,Gas shortage,145.0,3948582.0,Standby as per instruction of NLDC
Sirajgonj 400 MW CCPP Unit-4,Gas/HSD,NWPGCL,1*282+1*132,414.0,413.792,414.0,414.0,413.79,413.79,AGC,414.0,9149818.0,AGC+FGMO
Sirajgonj 6.55 MW Solar,Solar,NWPGCL,,6.0,6.12,0.0,0.0,5.6,0.0,-,0.0,8280.0,-
Sonagazi 75 MW (AC) Solar Power Plant,Solar,EGCB,,75.0,75.0,44.0,0.0,55.0,0.0,-,0.0,415673.0,-
Spectra Solar Plant Ltd.,Solar,IPP,,35.0,35.0,9.0,0.0,20.0,0.0,-,0.0,90171.0,-
