Row 3 contains the names of relevant pypsa variables,,,,,,,,
Line Name,Start Bus,End Bus,Length(km),Conductor,Line Resistance (Ohm),Line Inductive Reactance (Ohm),Line Shunt Susceptance (Siemens),Line Nominal Capacity (MVA)
name,bus0,bus1,,,r,x,b,s_nom
MadunaghatNew_230kVtoHathazari_230kV_Line2,MadunaghatNew_230kV,Hathazari_230kV,28.35,Quad Mallard,0.022077,0.078468,2.75E-05,230
Rampal_230kVtoKhulnaSouth_230kV_Line1,Rampal_230kV,KhulnaSouth_230kV,24,Twin Mallard,0.044155,0.133679,1.37E-05,230
Rampal_230kVtoKhulnaSouth_230kV_Line2,Rampal_230kV,KhulnaSouth_230kV,24,Twin Mallard,0.044155,0.133679,1.37E-05,230
BarishalNorth_230kVtoGopalganjNorth_230kV_Line1,BarishalNorth_230kV,GopalganjNorth_230kV,75,Twin Mallard,0.035324,0.133679,1.37E-05,230
BarishalNorth_230kVtoGopalganjNorth_230kV_Line2,BarishalNorth_230kV,GopalganjNorth_230kV,75,Twin Mallard,0.035324,0.133679,1.37E-05,230
GopalganjNorth_230kVtoFaridpur_230kV_Line1,GopalganjNorth_230kV,Faridpur_230kV,49,Twin Mallard,0.035324,0.133679,1.37E-05,230
GopalganjNorth_230kVtoFaridpur_230kV_Line2,GopalganjNorth_230kV,Faridpur_230kV,49,Twin Mallard,0.035324,0.133679,1.37E-05,230
MadunaghatNew_230kVtoSikalbaha_230kV_Line1,MadunaghatNew_230kV,Sikalbaha_230kV,11.7,Quad Mallard,0.022077,0.078468,2.75E-05,230
MadunaghatNew_230kVtoSikalbaha_230kV_Line2,MadunaghatNew_230kV,Sikalbaha_230kV,11.7,Quad Mallard,0.022077,0.078468,2.75E-05,230
MadunaghatNew_230kVtoMadunaghat_230kV_Line1,MadunaghatNew_230kV,Madunaghat_230kV,7,Twin Mallard,0.044155,0.133679,1.37E-05,230
MadunaghatNew_230kVtoMadunaghat_230kV_Line2,MadunaghatNew_230kV,Madunaghat_230kV,7,Twin Mallard,0.044155,0.133679,1.37E-05,230
RNPP_230kVtoBaghabari_230kV_Line1,RNPP_230kV,Baghabari_230kV,65.5,Twin Mallard,0.035324,0.133679,1.37E-05,230
RNPP_230kVtoBaghabari_230kV_Line2,RNPP_230kV,Baghabari_230kV,65.5,Twin Mallard,0.035324,0.133679,1.37E-05,230
Khulna330MW_230kVtoKhulnaSouth_230kV_Line1,Khulna330MW_230kV,KhulnaSouth_230kV,14,Twin Mallard,0.06397,0.2362,7.17E-06,230
Sonagazi_230kVtoMirsarai_230kV_Line1,Sonagazi_230kV,Mirsarai_230kV,13.3,Twin Mallard,0.044155,0.133679,1.37E-05,230
Korerhat_230kVtoChowmuhani_230kV_Line1,Korerhat_230kV,Chowmuhani_230kV,54,Twin Mallard,0.044155,0.133679,1.37E-05,230
Korerhat_230kVtoChowmuhani_230kV_Line2,Korerhat_230kV,Chowmuhani_230kV,54,Twin Mallard,0.044155,0.133679,1.37E-05,230
Korerhat_230kVtoChowmuhani_230kV_Line3,Korerhat_230kV,Chowmuhani_230kV,54,Twin Mallard,0.044155,0.133679,1.37E-05,230
Korerhat_230kVtoChowmuhani_230kV_Line4,Korerhat_230kV,Chowmuhani_230kV,54,Twin Mallard,0.044155,0.133679,1.37E-05,230
Chowmuhani_230kVtoKachua_230kV_Line1,Chowmuhani_230kV,Kachua_230kV,50.5,Twin Mallard,0.044155,0.133679,1.37E-05,230
Chowmuhani_230kVtoKachua_230kV_Line2,Chowmuhani_230kV,Kachua_230kV,50.5,Twin Mallard,0.044155,0.133679,1.37E-05,230
Chowmuhani_230kVtoKachua_230kV_Line3,Chowmuhani_230kV,Kachua_230kV,50.5,Twin Mallard,0.044155,0.133679,1.37E-05,230
Chowmuhani_230kVtoKachua_230kV_Line4,Chowmuhani_230kV,Kachua_230kV,50.5,Twin Mallard,0.044155,0.133679,1.37E-05,230
Chowmuhani_230kVtoMaijdee_230kV_Line1,Chowmuhani_230kV,Maijdee_230kV,20.5,Twin Mallard,0.044155,0.133679,1.37E-05,230
Chowmuhani_230kVtoMaijdee_230kV_Line2,Chowmuhani_230kV,Maijdee_230kV,20.5,Twin Mallard,0.044155,0.133679,1.37E-05,230
Barapukuria_230kVtoPurbasadipur_230kV_Line1,Barapukuria_230kV,Purbasadipur_230kV,38.7,Twin Mallard,0.044155,0.133679,1.37E-05,230
Barapukuria_230kVtoPurbasadipur_230kV_Line2,Barapukuria_230kV,Purbasadipur_230kV,38.7,Twin Mallard,0.044155,0.133679,1.37E-05,230
Kachua_230kVtoGazaria_230kV_Line1,Kachua_230kV,Gazaria_230kV,49,Twin Mallard,0.044155,0.133679,1.37E-05,230
Kachua_230kVtoGazaria_230kV_Line2,Kachua_230kV,Gazaria_230kV,49,Twin Mallard,0.044155,0.133679,1.37E-05,230
Kachua_230kVtoGazaria_230kV_Line3,Kachua_230kV,Gazaria_230kV,49,Twin Mallard,0.044155,0.133679,1.37E-05,230
Kachua_230kVtoGazaria_230kV_Line4,Kachua_230kV,Gazaria_230kV,49,Twin Mallard,0.044155,0.133679,1.37E-05,230
GhorashalSouthWest_230kVtoGhorashal_230kV_Line1,GhorashalSouthWest_230kV,Ghorashal_230kV,1.1,XLPE 2000 sq mm,0.015,0.12,2.00E-05,230
