name,substation,v_nom,carrier,transformer_detail,total_capacity_mva,ownership,grid_circle,implicit
Niamatpur_132kV,Niamatpur,132,AC,"2x50/75, 1x35/50",200,POWER GRID,Bogura,False
Noapara_132kV,Noapara,132,AC,2x50/75 1x44.1/63,213,POWER GRID,Khulna,False
Pabna_132kV,Pabna,132,AC,"2x50/75, 2x25/41",232,POWER GRID,HVDC,False
Palashbari_132kV,Palashbari,132,AC,2x50/75 2X25/41,232,POWER GRID,Bogura,False
Panchagarh_132kV,Panchagarh,132,AC,4x25/41,164,POWER GRID,Bogura,False
Patiya_132kV,Patiya,132,AC,2x80/120,240,POWER GRID,Chattogram,False
Patuakhali_132kV,Patuakhali,132,AC,2x50/75 1x25/41,191,POWER GRID,Khulna,False
Payra_132kV,Payra,132,AC,2x80/120,240,POWER GRID,Khulna,False
PHP_132kV,PHP,132,AC,1x30/35,35,Bulk,Cumilla,False
Postagola_132kV,Postagola,132,AC,2x80/120,240,DPDC,Dhaka(S),False
Purbachal_132kV,Purbachal,132,AC,2x80/120,240,DESCO,Dhaka(N),False
Purbasadipur_132kV,Purbasadipur,132,AC,"1x80/120, 1x25/41 2x50/75",311,POWER GRID,Bogura,False
RSRM_132kV,RSRM,132,AC,1x20/25,25,Bulk,Dhaka(S),False
Rajbari_132kV,Rajbari,132,AC,"2x50/75, 1x25/41",191,POWER GRID,Khulna,False
Rajshahi_132kV,Rajshahi,132,AC,"1x80/120, 1x50/75,1x35/50",290,POWER GRID,Bogura,False
Rajshahi(N)_132kV,Rajshahi(N),132,AC,2x80/120,240,POWER GRID,Bogura,False
Rajendrapur_132kV,Rajendrapur,132,AC,3x80/120,360,POWER GRID,Dhaka(N),False
Ramganj_132kV,Ramganj,132,AC,2x50/75,150,POWER GRID,Cumilla,False
Rampur_132kV,Rampur,132,AC,2x80/120,240,POWER GRID,Chattogram,False
Rangamati_132kV,Rangamati,132,AC,2x25/41,82,POWER GRID,Chattogram,False
Rangpur_132kV,Rangpur,132,AC,"2x80/120, 1x25/41",281,POWER GRID,Bogura,False
Rooppur_132kV,Rooppur,132,AC,2x25/41,82,MoST,HVDC,False
Saidpur_132kV,Saidpur,132,AC,"1x35/50, 2x50/75",241,POWER GRID,Bogura,False
Satkhira_132kV,Satkhira,132,AC,"2x25/41, 1x40 1x80/120",242,POWER GRID,Khulna,False
Sathia_132kV,Sathia,132,AC,2x50/75,150,POWER GRID,HVDC,False
Satmasjid_132kV,Satmasjid,132,AC,2x80/120,240,POWER GRID,Dhaka(N),False
Savar_132kV,Savar,132,AC,4x50/75,300,POWER GRID,Dhaka(N),False
Seven Circle_132kV,Seven Circle,132,AC,2x30,60,Bulk,Dhaka(S),False
Shah Cement_132kV,Shah Cement,132,AC,1x80/120,120,Private,Dhaka(S),False
Shahjadpur_132kV,Shahjadpur,132,AC,"2x50/75, 2x35/50",250,POWER GRID,HVDC,False
Shahjibazar_132kV,Shahjibazar,132,AC,"1x25/41, 1x50/75, 1x80/120",236,POWER GRID,Cumilla,False
Shahmirpur_132kV,Shahmirpur,132,AC,2x48/64,128,POWER GRID,Chattogram,False
Shariatpur_132kV,Shariatpur,132,AC,2x80/120,240,POWER GRID,Khulna,False
Sherpur_132kV,Sherpur,132,AC,3x50/75,225,POWER GRID,Dhaka(N),False
Sherpur(Bogura)_132kV,Sherpur(Bogura),132,AC,3x50/75,225,POWER GRID,Bogura,False
Sholoshahar_132kV,Sholoshahar,132,AC,2x80/120,240,POWER GRID,Chattogram,False
Shyampur_132kV,Shyampur,132,AC,"2x50/75, 2x80/120",390,DPDC,Dhaka(S),False
Siddhirganj_132kV,Siddhirganj,132,AC,3x80/120,360,POWER GRID,Dhaka(S),False
Sikalbaha_132kV,Sikalbaha,132,AC,"1x25/41.6, 1x50/75 Pag",116.6 e 5 of 6,BPDB,Chattogram,False
Sitakunda_132kV,Sitakunda,132,AC,2x50/75,150,POWER GRID,Chattogram,False
Sirajganj_132kV,Sirajganj,132,AC,"2x50/75, 2x80/120",390,POWER GRID,Bogura,False
Sitalakhya_132kV,Sitalakhya,132,AC,3x50/75,225,DPDC,Dhaka(S),False
Sonargaon_132kV,Sonargaon,132,AC,2x80/120,240,POWER GRID,Dhaka(S),False
Srimangal_132kV,Srimangal,132,AC,"1x15/20, 3x25/41",143,POWER GRID,Cumilla,False
Sreenagar_132kV,Sreenagar,132,AC,2x50/75,150,POWER GRID,Dhaka(S),False
SSML_132kV,SSML,132,AC,1x25/30,30,Bulk,Chattogram,False
Sripur_132kV,Sripur,132,AC,2x50/75,150,POWER GRID,Dhaka(N),False
Sunamganj_132kV,Sunamganj,132,AC,2x30/39 (2x3x10/13),78,POWER GRID,Cumilla,False
Sylhet_132kV,Sylhet,132,AC,"1x80/120, 2x25/41,1x50/83",285,POWER GRID,Cumilla,False
Sylhet (S)_132kV,Sylhet (S),132,AC,2x50/75,150,POWER GRID,Cumilla,False
Tangail_132kV,Tangail,132,AC,"2x80/120, 1x50/75, 1x25/41",356,POWER GRID,Dhaka(N),False
Taraganj_132kV,Taraganj,132,AC,2x25/41,82,POWER GRID,Bogura,False
Tasnim Chemical_132kV,Tasnim Chemical,132,AC,1x80/120,120,Bulk,Dhaka(S),False
Thakurgaon_132kV,Thakurgaon,132,AC,"2x50/75, 1x25/41",191,POWER GRID,Bogura,False
TKCCL_132kV,TKCCL,132,AC,2x50/75,75,Bulk,Chattogram,False
Tongi_132kV,Tongi,132,AC,"1x50/75, 2x80/120",315,POWER GRID,Dhaka(N),False
Tongi-3 (Mill Gate)_132kV,Tongi-3 (Mill Gate),132,AC,2x80/120,240,DESCO,Dhaka(N),False
Ullapara_132kV,Ullapara,132,AC,2x80/120,240,POWER GRID,HVDC,False
Ullon_132kV,Ullon,132,AC,3x35/50,150,DPDC,Dhaka(S),False
Uttara 3P_132kV,Uttara 3P,132,AC,2x80/120,240,DESCO,Dhaka(N),False
Uttara_132kV,Uttara,132,AC,3x80/120,360,DESCO,Dhaka(N),False
Zigatola_132kV,Zigatola,132,AC,2x80/120,240,DPDC,Dhaka(S),False
Korerhat_230kV,Korerhat,230,AC,2x1000,,POWER GRID,Chattogram,True
Bibiyana_230kV,Bibiyana,230,AC,2x520,,POWER GRID,Cumilla,True
RNPP_230kV,RNPP,230,AC,2x520,,RNPP,HVDC,True
Bheramara_400kV,Bheramara,400,AC,"3x25/41, 1x15/20",,POWER GRID,HVDC,True
Baghabari_132kV,Baghabari,132,AC,"1x225, 1x300",,POWER GRID,HVDC,True
Payra_230kV,Payra,230,AC,2x80/120,,POWER GRID,Khulna,True
Patuakhali_230kV,Patuakhali,230,AC,2x50/75 1x25/41,,POWER GRID,Khulna,True
Mongla_230kV,Mongla,230,AC,2x50/75,,POWER GRID,Khulna,True
Cumilla (N)_400kV,Cumilla (N),400,AC,3x50/75,,POWER GRID,Cumilla,True
Ashuganj (N)_230kV,Ashuganj (N),230,AC,2x244/325,,APSCL,Cumilla,True
Bogura (W)_230kV,Bogura (W),230,AC,3x750,,POWER GRID,Bogura,True
Banskhali_400kV,Banskhali,400,AC,,,,,True
Monakosa_400kV,Monakosa,400,AC,,,,,True
Raozan_230kV,Raozan,230,AC,,,,,True
Bhola_230kV,Bhola,230,AC,,,,,True
Anowara_230kV,Anowara,230,AC,,,,,True
Gazaria_230kV,Gazaria,230,AC,,,,,True
Sonagazi_230kV,Sonagazi,230,AC,,,,,True
Bakerganj_132kV,Bakerganj,132,AC,,,,,True
Barmi_132kV,Barmi,132,AC,,,,,True
Pubail_132kV,Pubail,132,AC,,,,,True
Araihazar_132kV,Araihazar,132,AC,,,,,True
Kaliganj_132kV,Kaliganj,132,AC,,,,,True
Maheshpur_132kV,Maheshpur,132,AC,,,,,True
Cantonment_132kV,Cantonment,132,AC,,,,,True
Madunaght_230kV,Madunaght,230,AC,,,,,True
Kabir Steel_132kV,Kabir Steel,132,AC,,,,,True
Bangladesh Border_400kV,Bangladesh Border,400,AC,,,,,True
Khula 330MW_230kV,Khula 330MW,230,AC,,,,,True
Energaon_132kV,Energaon,132,AC,,,,,True
