place,class,voltages,bus_names,lat,lon,matched_name,osm_id,feature_power,score,confidence,status,source,note
Kazla,town,132,Kazla_132kV,22.9773388,88.4717639,Kalyani,way/147938652,substation,66.7,low,unresolved,osm,
Keraniganj,town,132|230,Keraniganj_132kV|Keraniganj_230kV,23.7055229,90.343129,Keraniganj,way/957155219,substation,100.0,high,accepted,osm,constrained re-match (2 discs)
Khagrachari,town,132,Khagrachari_132kV,23.0797962,91.9746199,Khagrachari,way/1043456901,substation,100.0,high,accepted,osm,
Khulna330MW,plant,230,Khulna330MW_230kV,22.7954622,89.5067142,Khulna South,way/147998784,substation,86.7,high,accepted,osm,constrained re-match (1 discs)
KhulnaCentral,plant,132,KhulnaCentral_132kV,22.8682836,89.536309,KPCL-2 (Khulna-II) Power Plant,way/1043525206,plant,84.0,high,accepted,osm,constrained re-match (3 discs)
KhulnaSouth,town,132|230,KhulnaSouth_132kV|KhulnaSouth_230kV,22.7954622,89.5067142,Khulna South,way/147998784,substation,100.0,high,accepted,osm,
Khulshi,town,132,Khulshi_132kV,22.3616868,91.7953746,Khulshi,way/369672616,substation,100.0,high,accepted,osm,
Kishoreganj,plant,132,Kishoreganj_132kV,24.4186745,90.7899779,Kishorganj,way/210993429,substation,95.2,high,accepted,osm,constrained re-match (1 discs)
Kodda,plant,132,Kodda_132kV,23.9904965,90.3377759,Kodda,way/1041851991,substation,100.0,high,reopened,osm,constrained re-match (3 discs)
Korerhat,town,230|400,Korerhat_230kV|Korerhat_400kV,22.8937051,91.5371894,Baroirhat,way/1098932515,substation,58.8,medium,provisional,osm,constrained re-match (3 discs)
Kulaura,town,132,Kulaura_132kV,24.5121289,92.0180096,Kulaura,way/369543970,substation,100.0,high,accepted,osm,
Kurigram,town,132,Kurigram_132kV,25.8092417,89.5942026,Kurigram,way/1043456939,substation,100.0,high,accepted,osm,
Kushtia,town,132,Kushtia_132kV,24.6891432,91.9178196,Kushiara Power Plant,way/929337988,plant,80.0,medium,reopened,osm,
LabancharaPP,plant,132,LabancharaPP_132kV,22.7659661,89.5846572,Orion Power Rupsha Ltd,way/690245883,plant,91.0,high,reopened,osm,constrained re-match (2 discs)
Laksam,town,132,Laksam_132kV,23.2016659,91.1333561,Laksam,way/1429610303,substation,100.0,high,accepted,osm,
Lakshmipur,town,132,Lakshmipur_132kV,23.2016659,91.1333561,Laksam,way/1429610303,substation,62.5,medium,provisional,osm,constrained re-match (1 discs)
Lalbagh,town,132,Lalbagh_132kV,,,,,,,none,unresolved,osm,
Lalmonirhat,plant,132,Lalmonirhat_132kV,25.9176294,89.4544293,Lalmonirhat,way/274341720,substation,100.0,high,accepted,osm,constrained re-match (1 discs)
MSML,industrial,132,MSML_132kV,,,,,,,none,unresolved,osm,
Madanganj,plant,132,Madanganj_132kV,23.5900544,90.5148545,Summit Madanganj Power Plant,way/943631555,plant,100.0,high,accepted,osm,constrained re-match (1 discs)
Madaripur,town,132,Madaripur_132kV,23.1477946,90.1424258,Marairpur,way/274418291,substation,77.8,high,reopened,osm,constrained re-match (2 discs)
Madartek,town,132,Madartek_132kV,,,,,,,none,unresolved,osm,
MadhumatiPP,plant,132,MadhumatiPP_132kV,22.9339035,89.8108614,Madhumati Power Plant,way/989277938,plant,100.0,high,accepted,osm,
Madunaghat,town,132|230,Madunaghat_132kV|Madunaghat_230kV,22.4318897,91.8698558,Madunaghat,way/211045466,substation,100.0,high,accepted,osm,constrained re-match (4 discs)
MadunaghatNew,town,230|400,MadunaghatNew_230kV|MadunaghatNew_400kV,22.4318897,91.8698558,Madunaghat,way/211045466,substation,100.0,high,accepted,osm,
Magura,town,132,Magura_132kV,23.4724619,89.3990786,Magura,way/274387965,substation,100.0,high,accepted,osm,
Mahasthangarh,town,132,Mahasthangarh_132kV,24.9597048,89.3567996,Mahasthangarh Substation,way/1043456936,substation,100.0,high,reopened,osm,constrained re-match (1 discs)
Maheshpur,town,132,Maheshpur_132kV,,,,,,,none,unresolved,osm,
Maijdee,town,132,Maijdee_132kV,,,,,,,none,unresolved,osm,
Manikganj,plant,132,Manikganj_132kV,23.8724157,90.0126238,Manikganj,way/210993432,substation,100.0,high,accepted,osm,constrained re-match (1 discs)
Maniknagar,town,132|230,Maniknagar_132kV|Maniknagar_230kV,23.7217885,90.4356511,Maniknagar 230,way/222334017,substation,100.0,high,accepted,osm,constrained re-match (2 discs)
Matarbari,plant,132|400,Matarbari_132kV|Matarbari_400kV,21.7120903,91.9094426,Matarbari,way/802058919,substation,100.0,high,accepted,osm,
MatarbariTConnection,town,132,MatarbariTConnection_132kV,21.7120903,91.9094426,Matarbari,way/802058919,substation,83.2,high,accepted,osm,constrained re-match (3 discs)
Matuail,town,132,Matuail_132kV,23.6598921,90.4867913,"Matuail Substation, DPDC মাতুয়াইল সাবস্টেশন, ডিপিডিসি",way/148114253,substation,100.0,high,accepted,osm,
Meghnaghat,plant,230|400,Meghnaghat_230kV|Meghnaghat_400kV,23.611268,90.6006013,Meghnaghat,way/210729643,substation,100.0,high,accepted,osm,
