400 kV Transmission Line,,,,,,,,,,,,,,,
SN,Name of Lines,,,"Length in
Route km",,,"Length in
Ckt. Km",,,"No. of
Ckt.",,,Conductor,,
53,Bheramara-Ishwardi,10.0,20,Double,,AAAC,,,804 MCM,,,,,,
54,Ishwardi-Natore,42.0,84,Double,,AAAC,,,804 MCM,,,,,,
55,Natore-Bogra,61.0,122,Double,,AAAC,,,804 MCM,,,,,,
56,Bogra-Palashbari,50.0,100,Double,,AAAC,,,804 MCM,,,,,,
57,Palashbari-Rangpur,52.0,104,Double,,AAAC,,,804 MCM,,,,,,
58,Rangpur-Saidpur,42,83,Double,,AAAC,,,804 MCM,,,,,,
59,Saidpur-Purbasadipur,25,49,Double,,ACCC Grosbeak,,,804 MCM,,,,,,
60,Purbasadipur-Thakurgaon,45.0,90,Double,,AAAC,,,804 MCM,,,,,,
61,Barisal-Bhandaria,49.0,49.0,Single,,HAWK,,,477 MCM,,,,,,
62,Bhandaria-Bagerhat,40.0,40.0,Single,,HAWK,,,477 MCM,,,,,,
63,Bagerhat-Mongla,28.0,28.0,Single,,HAWK,,,477 MCM,,,,,,
64,Barisal-Patuakhali,38,38,Single,,HAWK,,,477 MCM,,,,,,
65,Bheramara-Faridpur,105.0,210,Double,,ACCC HAWK,,,477 MCM,,,,,,
66,Faridpur-Madaripur,66,131,Double,,HAWK,,,477 MCM,,,,,,
67,Madaripur-Barisal(N),49.0,97,Double,,HAWK,,,477 MCM,,,,,,
68,Barishal(N)-Barishal,10.0,20,Double,,ACCC HAWK,,,477 MCM,,,,,,
69,Rajshahi-Natore,37.0,37.0,Single,,HAWK,,,477 MCM,,,,,,
70,Ishwardi-Baghabari,63.0,63.0,Single,,HAWK,,,477 MCM,,,,,,
71,Baghabari-Shahjadpur,5.0,5.0,Single,,HAWK,,,477 MCM,,,,,,
72,Ishwardi-Pabna,18.0,18.0,Single,,Grosbeak,,,636 MCM,,,,,,
73,Pabna-Shahjadpur,41.0,41.0,Single,,Grosbeak,,,636 MCM,,,,,,
74,Bogra-Sirajganj,66.0,132,Double,,Grosbeak,,,636 MCM,,,,,,
75,Sirajganj-Shahjadpur,34,34,Single,,Grosbeak,,,636 MCM,,,,,,
76,Sirajganj-Baghabari,40,40,Single,,Grosbeak,,,636 MCM,,,,,,
77,Rajshahi-Chapai Nawabganj,48.0,96,Double,,Grosbeak,,,636 MCM,,,,,,
78,Rangpur-Lalmonirhat,38.0,38.0,Single,,Grosbeak,,,636 MCM,,,,,,
79,Bogra-Naogaon,44.0,88,Double,,ACCC Grosbeak,,,636 MCM,,,,,,
,,,,,,,,,,,,,,,
132 kV Transmission Line,,,,,,,,,,,,,,,
80,Kabirpur-Tangail,51.0,102,Double,,"ACCC/ACSR
Grosbeak",,,636 MCM,,,,,,
81,Tongi-Mirpur,17,17,Single,,ACCC Grosbeak,,,636 MCM,,,,,,
82,Tongi-Uttara,15,15,Single,,ACCC Grosbeak,,,636 MCM,,,,,,
83,Uttara-Mirpur,9,9,Single,,ACCC Grosbeak,,,636 MCM,,,,,,
84,Mirpur-Aminbazar,7.0,14,Double,,ACCC Grosbeak,,,636 MCM,,,,,,
85,Aminbazar-Kallayanpur,4.0,8,Double,,Grosbeak,,,636 MCM,,,,,,
86,Hasnabad-Lalbagh,30,30,Single,,Grosbeak,,,636 MCM,,,,,,
87,Kamrangirchar-Lalbagh,3,3,Single,,Grosbeak,,,636 MCM,,,,,,
88,Kallayanpur-Kamrangirchar,11,11,Single,,Grosbeak,,,636 MCM,,,,,,
89,Kallayanpur-Keraniganj,20,20,Single,,Grosbeak,,,636 MCM,,,,,,
90,Hasnabad-Keraniganj,14,14,Single,,Grosbeak,,,636 MCM,,,,,,
91,Tongi-New Tongi,1,1,Double,,XLPE,,,500 sq.mm,,,,,,
92,Hasnabad-Sitalakhya,13,13,Single,,Grosbeak,,,636 MCM,,,,,,
93,Madanganj-Sitalakhya,4,4,Single,,Grosbeak,,,636 MCM,,,,,,
94,Hasnabad-Shyampur,21,21,Single,,Grosbeak,,,636 MCM,,,,,,
95,Shyampur-Haripur,30,30,Single,,Grosbeak,,,636 MCM,,,,,,
96,Madanganj-Haripur,12,12,Single,,Grosbeak,,,636 MCM,,,,,,
97,Siddhirganj-Ullon,16.0,32,Double,,Grosbeak,,,636 MCM,,,,,,
98,Haripur-Matuail,6,6,Single,,Grosbeak,,,636 MCM,,,,,,
99,Maniknagar-Matuail,16,16,Single,,Grosbeak,,,636 MCM,,,,,,
100,Siddhirganj-Maniknagar,10,10,Single,,Grosbeak,,,636 MCM,,,,,,
101,Maniknagar-Narinda,5.0,10,Double,,Cu.Cable,,,240 sq.mm,,,,,,
102,Ullon-Dhanmondi,6,11,Double,,Cu.Cable,,,240 sq.mm,,,,,,
103,Ullon-Dhanmondi,6,11,Double,,XLPE,,,500 sq.mm,,,,,,
104,Tongi-Kabirpur,23,45,Double,,Grosbeak,,,636 MCM,,,,,,
105,Kabirpur-Manikganj,32.0,64,Double,,Grosbeak,,,636 MCM,,,,,,
106,Ullon-Rampura,4.0,8,Double,,XLPE,,,800 sq.mm,,,,,,
107,Rampura-Bashundhara,8.0,16,Double,,Grosbeak,,,636 MCM,,,,,,
108,Bashundhara-Tongi,11.0,22,Double,,Grosbeak,,,636 MCM,,,,,,
109,Rampura-Moghbazar,5,9,Double,,Grosbeak,,,636 MCM,,,,,,
110,Ghorasal-Joydevpur,28.0,56,Double,,Grosbeak,,,636 MCM,,,,,,
111,Baghabari-Shahjadpur,6,6,Single,,Grosbeak,,,636 MCM,,,,,,
112,Chandpur-Chowmuhani,68.0,136,Double,,Grosbeak,,,636 MCM,,,,,,
113,Barapukuria-Rangpur,42.0,84,Double,,Grosbeak,,,636 MCM,,,,,,
114,Barapukuria-Saidpur,36.0,72,Double,,ACCC AAAC,,,636 MCM,,,,,,
115,Madaripur-Gopalganj,45.0,45.0,Single,,AAAC,,,804 MCM,,,,,,
116,Khulna (C)-Khulna(S),9.0,18,Double,,Twin AAAC,,,37/4.176 mm.,,,,,,
117,Khulna(S)-Satkhira,47.0,94,Double,,AAAC,,,804 MCM,,,,,,
118,Rajshahi-Natore,40.0,40.0,Single,,Grosbeak,,,636 MCM,,,,,,
119,Rampura-Gulshan,3,7,Double,,XLPE,,,800 sq.mm,,,,,,
120,Sikalbaha-Bakulia,4.0,8,Double,,Grosbeak,,,636 MCM,,,,,,
121,Juldah-Shahmirpur,6.0,12,Double,,Grosbeak,,,636 MCM,,,,,,
122,Khulshi-Bakulia,15.0,30,Double,,Grosbeak,,,636 MCM,,,,,,
123,Haripur-Maniknagar,13,13,Single,,Grosbeak,,,636 MCM,,,,,,
124,Joydevpur-Kodda PP,8.0,16,Double,,Grosbeak,,,636 MCM,,,,,,
125,Kodda PP-Kabirpur,10.0,20,Double,,Grosbeak,,,636 MCM,,,,,,
126,Sikalbaha-Shahmirpur,9.0,18,Double,,Grosbeak,,,636 MCM,,,,,,
127,Khulshi-Halishahar,13.0,13.0,Single,,Grosbeak,,,636 MCM,,,,,,
128,BograOld-BograNew,2,3,Double,,Twin AAAC,,,37/4.176 mm.,,,,,,
