start_node,end_node,voltage_level,approx_length_km,status,line_name
Barapukuria,Purbasadipur,230 kV,38.7,Existing,Barapukuria_230kVtoPurbasadipur_230kV_Line1
Barapukuria,Purbasadipur,230 kV,38.7,Existing,Barapukuria_230kVtoPurbasadipur_230kV_Line2
Kachua,Gazaria,230 kV,49.0,Existing,Kachua_230kVtoGazaria_230kV_Line1
Kachua,Gazaria,230 kV,49.0,Existing,Kachua_230kVtoGazaria_230kV_Line2
Kachua,Gazaria,230 kV,49.0,Existing,Kachua_230kVtoGazaria_230kV_Line3
Kachua,Gazaria,230 kV,49.0,Existing,Kachua_230kVtoGazaria_230kV_Line4
Ghorasal GIS2AIS double circuit,Ghorasal GIS2AIS double circuit,230 kV,1.1,Existing,Ghorasal GIS2AIS double circuit_230kVtoGhorasal GIS2AIS double circuit_230kV_Line1
Ghorasal GIS2AIS double circuit,Ghorasal GIS2AIS double circuit,230 kV,1.1,Existing,Ghorasal GIS2AIS double circuit_230kVtoGhorasal GIS2AIS double circuit_230kV_Line2
Ghorasal GIS2AIS 3rd Circuit,Ghorasal GIS2AIS 3rd Circuit,230 kV,1.1,Existing,Ghorasal GIS2AIS 3rd Circuit_230kVtoGhorasal GIS2AIS 3rd Circuit_230kV_Line1
Shahjibazar,Brahmanbaria,132 kV,57.0,Existing,Shahjibazar_132kVtoBrahmanbaria_132kV_Line1
Shahjibazar,Brahmanbaria,132 kV,57.0,Existing,Shahjibazar_132kVtoBrahmanbaria_132kV_Line2
Brahmanbaria,Ashuganj,132 kV,17.0,Existing,Brahmanbaria_132kVtoAshuganj_132kV_Line1
Brahmanbaria,Ashuganj,132 kV,17.0,Existing,Brahmanbaria_132kVtoAshuganj_132kV_Line2
Ashuganj,Ghorasal,132 kV,45.0,Existing,Ashuganj_132kVtoGhorasal_132kV_Line1
Ashuganj,Ghorasal,132 kV,45.0,Existing,Ashuganj_132kVtoGhorasal_132kV_Line2
Ghorasal,Narsingdi,132 kV,13.0,Existing,Ghorasal_132kVtoNarsingdi_132kV_Line1
Ghorasal,Narsingdi,132 kV,13.0,Existing,Ghorasal_132kVtoNarsingdi_132kV_Line2
Narsingdi,Haripur,132 kV,34.0,Existing,Narsingdi_132kVtoHaripur_132kV_Line1
Narsingdi,Bhulta,132 kV,16.0,Existing,Narsingdi_132kVtoBhulta_132kV_Line1
Bhulta,Haripur,132 kV,15.0,Existing,Bhulta_132kVtoHaripur_132kV_Line1
Haripur,Siddhirganj,132 kV,2.0,Existing,Haripur_132kVtoSiddhirganj_132kV_Line1
Haripur,Siddhirganj,132 kV,2.0,Existing,Haripur_132kVtoSiddhirganj_132kV_Line2
Shahjibazar,Srimangal,132 kV,36.0,Existing,Shahjibazar_132kVtoSrimangal_132kV_Line1
Shahjibazar,Srimangal,132 kV,36.0,Existing,Shahjibazar_132kVtoSrimangal_132kV_Line2
Srimangal,Fenchuganj,132 kV,49.0,Existing,Srimangal_132kVtoFenchuganj_132kV_Line1
Srimangal,Fenchuganj,132 kV,49.0,Existing,Srimangal_132kVtoFenchuganj_132kV_Line2
Fenchuganj,Fenchuganj PS,132 kV,4.0,Existing,Fenchuganj_132kVtoFenchuganj PS_132kV_Line1
