name,bus0,bus1,length,r_ohm_per_km,x_ohm_per_km,b_siemens_per_km,v_nom_kv,n_circuits,conductor,is_lilo,source_name
Rajendrapur_Sripur_TL_1,Rajendrapur_132kV,Sripur_132kV,20.5,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Rajendrapur-Sreepur
Rajendrapur_Sripur_TL_2,Rajendrapur_132kV,Sripur_132kV,20.5,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Rajendrapur-Sreepur
Araihazar_Bhulta_TL_1,Araihazar_132kV,Bhulta_132kV,8.0,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Araihazar-Bhulta
Araihazar_Bhulta_TL_2,Araihazar_132kV,Bhulta_132kV,8.0,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Araihazar-Bhulta
Ishwardi_Ishwardi_TL_1,Ishwardi_132kV,Ishwardi_132kV,22.0,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Dynamics Solar Plant-Ishurdi
Ishwardi_Ishwardi_TL_2,Ishwardi_132kV,Ishwardi_132kV,22.0,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Dynamics Solar Plant-Ishurdi
Kachua_Laksam_TL_1,Kachua_132kV,Laksam_132kV,32.0,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Kachua-Laksam
Kachua_Laksam_TL_2,Kachua_132kV,Laksam_132kV,32.0,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Kachua-Laksam
Chowmuhani_Lakshmipur_TL_1,Chowmuhani_132kV,Lakshmipur_132kV,27.0,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Chowmuhani-Lakshmipur
Chowmuhani_Lakshmipur_TL_2,Chowmuhani_132kV,Lakshmipur_132kV,27.0,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Chowmuhani-Lakshmipur
LILO_Taraganj_Saidpur_TL_1,Taraganj_132kV,Saidpur_132kV,0.25,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Saidpur-Rangpur at Taraganj
LILO_Taraganj_Saidpur_TL_2,Taraganj_132kV,Saidpur_132kV,0.25,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Saidpur-Rangpur at Taraganj
LILO_Taraganj_Saidpur_TL_3,Taraganj_132kV,Saidpur_132kV,0.25,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Saidpur-Rangpur at Taraganj
LILO_Taraganj_Saidpur_TL_4,Taraganj_132kV,Saidpur_132kV,0.25,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Saidpur-Rangpur at Taraganj
